"date","weekday","weekday_sunday1","is_weekend","y","lights","out_temperature","maxtemp","mintemp","out_pressure","out_humidity","windspeed","visibility","dewpoint"
2016-01-12,"Tuesday",3,0,12340,610,5.56631944444444,7.5,4.5,742.628125,87.5,5.78472222222222,37.2291666666667,3.59652777777778
2016-01-13,"Wednesday",4,0,13970,780,4.85694444444444,6.9,2.7,754.790625,83.40625,5.61458333333333,31.5590277777778,2.16979166666667
2016-01-14,"Thursday",5,0,21800,720,3.43194444444444,5.5,0.9,749.767361111111,86.4201388888889,6.27777777777778,35.1493055555556,1.31666666666667
2016-01-15,"Friday",6,0,18050,860,2.66527777777778,4.5,0,754.579861111111,88.3854166666667,7.77083333333333,40.2083333333333,0.849652777777778
2016-01-16,"Saturday",7,1,18040,1150,2.19409722222222,5.9,0.4,763.452777777778,89.6493055555556,3.48263888888889,35.4861111111111,0.539930555555556
2016-01-17,"Sunday",1,1,20550,710,0.392708333333333,3.1,-2.71666666666667,764.744444444444,83.8680555555556,2.20833333333333,33.9201388888889,-2.21840277777778
2016-01-18,"Monday",2,0,13530,490,-2.93784722222222,-0.4,-4.9,758.843402777778,82.2256944444444,2.35763888888889,30.0694444444444,-5.64513888888889
2016-01-19,"Tuesday",3,0,11990,390,-2.92916666666667,1.7,-4.9,757.250694444444,83.7048611111111,1,49.5381944444444,-5.48020833333333
2016-01-20,"Wednesday",4,0,16480,840,-1.621875,0.6,-5,760.064583333333,88.3541666666667,2.01736111111111,58.6006944444444,-3.325
2016-01-21,"Thursday",5,0,13340,590,0.175,4.7,-4.3,763.678125,80.4583333333333,1.61805555555556,52.1666666666667,-3.05659722222222
2016-01-22,"Friday",6,0,6580,100,1.59895833333333,4.43333333333333,-1.3,762.484375,86.0416666666667,4.51736111111111,41.7048611111111,-0.584027777777778
2016-01-23,"Saturday",7,1,13400,700,5.86041666666667,7.5,4.5,768.502083333333,97.0694444444444,3.83333333333333,30.3854166666667,5.42291666666667
2016-01-24,"Sunday",1,1,21640,1430,6.88784722222222,8.1,5.1,767.879861111111,94.71875,4.48958333333333,47.71875,6.090625
2016-01-25,"Monday",2,0,9470,350,9.53159722222222,13.1,6.5,763.928819444444,80.0173611111111,3.90972222222222,44.8090277777778,5.94618055555556
2016-01-26,"Tuesday",3,0,10270,520,9.55138888888889,11.1,7.8,761.970138888889,85.5555555555556,6.1875,39.9340277777778,7.18333333333333
2016-01-27,"Wednesday",4,0,6570,90,10.2190972222222,11.3,9.6,756.694097222222,85.6111111111111,9.34722222222222,41.4895833333333,7.846875
2016-01-28,"Thursday",5,0,5400,0,5.86944444444444,10,1.8,763.188194444444,85.5347222222222,3.06597222222222,33.59375,3.53506944444444
2016-01-29,"Friday",6,0,6920,100,6.65173611111111,9.1,3,763.313194444444,82.4305555555556,8.31944444444444,40,3.84201388888889
2016-01-30,"Saturday",7,1,18790,430,6.92013888888889,9.1,2.7,754.521180555556,87.3368055555556,8.13888888888889,35.9340277777778,4.92326388888889
2016-01-31,"Sunday",1,1,18640,1680,7.17152777777778,11.8,3.6,753.601388888889,93.0798611111111,5.59375,36.0069444444444,6.11388888888889
2016-02-01,"Monday",2,0,22450,2180,10.9565972222222,11.6,10.1,759.171180555556,85.9340277777778,8.30902777777778,39.7986111111111,8.62256944444444
2016-02-02,"Tuesday",3,0,11220,2150,8.3,10.5,5.48333333333333,757.847569444445,91.4513888888889,5.86458333333333,44.7604166666667,6.95972222222222
2016-02-03,"Wednesday",4,0,19140,1180,4.88680555555556,6.6,3.33333333333333,760.518055555556,82.3854166666667,4.59722222222222,37.2083333333333,2.02465277777778
2016-02-04,"Thursday",5,0,14450,1360,5.70034722222222,10.1,1.7,763.669097222222,91.5034722222222,4.41666666666667,36.9965277777778,4.39930555555556
2016-02-05,"Friday",6,0,9010,350,8.97222222222222,10,7,762.283680555556,93.5277777777778,4.55208333333333,36.7951388888889,7.95868055555556
2016-02-06,"Saturday",7,1,11980,310,9.75173611111111,11.9,7.5,750.719791666667,77.6701388888889,7.27777777777778,39.5416666666667,5.91840277777778
2016-02-07,"Sunday",1,1,11430,790,8.26354166666667,12,6.8,744.544791666667,73.9756944444444,8.15277777777778,37.4895833333333,3.74618055555556
2016-02-08,"Monday",2,0,21220,1440,7.98020833333333,9.3,6.5,740.666666666667,76.6423611111111,10.6319444444444,36.5729166666667,4.02708333333333
2016-02-09,"Tuesday",3,0,18110,470,4.99097222222222,6.4,3.06666666666667,737.666666666667,89.2222222222222,6.24652777777778,37.7708333333333,3.27361111111111
2016-02-10,"Wednesday",4,0,13880,750,4.23263888888889,6.3,2.5,742.090972222222,91.5729166666667,5.48958333333333,38.6909722222222,2.946875
2016-02-11,"Thursday",5,0,15300,920,3.53819444444444,5.7,1.3,748.672222222222,94.4236111111111,3.04166666666667,47.4236111111111,2.68715277777778
2016-02-12,"Friday",6,0,16970,570,3.21388888888889,6,1.1,743.499652777778,84.1458333333333,3.56597222222222,39.1006944444444,0.6375
2016-02-13,"Saturday",7,1,13840,420,2.30104166666667,3.8,-0.3,735.469791666667,92.4895833333333,3.29166666666667,38.8784722222222,1.17777777777778
2016-02-14,"Sunday",1,1,14750,1610,2.73229166666667,3.4,2.2,738.280555555556,93.6458333333333,3.01041666666667,41.1701388888889,1.79166666666667
